"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"CSTB",1.19635597719421e-07,-0.284120514661944,0.823,0.951,0.00732421092798069
"COPS6",1.20095520670726e-07,0.307105283002848,0.828,0.724,0.00735236787098254
"CBFA2T2",1.21718584939473e-07,-0.389280108053955,0.368,0.551,0.00745173348857946
"RAD52",1.32890658574732e-07,-0.345516994874424,0.278,0.431,0.00813569900860367
"PHIP",1.35507958203585e-07,-0.448637985877008,0.636,0.8,0.00829593270918171
"COPS9",1.38429520233499e-07,-0.426318962202595,0.855,0.929,0.00847479365821504
"HMGN3",1.38877890147462e-07,-0.370947645869694,0.855,0.942,0.00850224331271776
"TMEM37",1.41134539321696e-07,0.376161965567155,0.555,0.413,0.00864039763181353
"MORN2",1.41855927121117e-07,0.271972532437808,0.592,0.431,0.00868456171428188
"ALG5",1.42103401243396e-07,0.303886970802028,0.689,0.56,0.00869971232752193
"LGALS1",1.53577761527656e-07,-0.41115720441417,0.072,0.182,0.00940218413848462
"CMTM6",1.69290872072842e-07,0.28139774712903,0.709,0.6,0.0103641564791715
"TSPYL4",1.77052077161955e-07,0.38929969206799,0.647,0.524,0.010839305215932
"DYNLT3",1.8419872615436e-07,0.267321236896448,0.853,0.711,0.0112768302138961
"DEGS1",1.85228028122809e-07,0.311172530908764,0.672,0.547,0.0113398451097065
"PON1",1.90847327702406e-07,-0.338930704854587,0.106,0.236,0.011683864249269
"CTSL",1.93198548726175e-07,0.298375969257977,0.774,0.653,0.0118278083515652
"TNKS2",1.97957273452271e-07,0.25975891585164,0.723,0.573,0.0121191422380215
"TAOK1",2.01032291210367e-07,-0.259065721073718,0.58,0.787,0.0123073979001899
"SPRYD3",2.02618583629959e-07,0.345980955866595,0.686,0.582,0.0124045123084097
"EIF3F",2.03149921563091e-07,0.286566359202694,0.745,0.662,0.012437041348014
"UBR2",2.07253309958175e-07,-0.527744308309809,0.507,0.684,0.0126882548889494
"SLC35B1",2.09413285583906e-07,0.402620707924239,0.778,0.738,0.0128204907567323
"NINJ1",2.14576776566207e-07,0.487592066437257,0.422,0.276,0.0131366048381598
"ETF1",2.17125930595878e-07,0.349522951195993,0.638,0.52,0.0132926665970102
"MAF1",2.24742765767758e-07,0.252955232256941,0.482,0.329,0.0137589768630679
"ANAPC13",2.46899398474222e-07,0.255170727837728,0.776,0.698,0.0151154280739904
"RPS23",2.50509900125873e-07,-0.263590192027492,0.975,0.973,0.0153364665956061
"SLX4IP",2.54592895262114e-07,-0.53298165945882,0.266,0.427,0.0155864316408419
"PHF14",2.5839431671885e-07,-0.279305261587968,0.397,0.569,0.0158191584638447
"ANO5",2.66368689297342e-07,-0.57867091769187,0.392,0.564,0.0163073575274726
"ALG2",2.66679111657368e-07,0.380922903928615,0.676,0.551,0.0163263618947757
"SLBP",2.68494235211256e-07,0.268593000380273,0.525,0.364,0.0164374855738683
"TMEM209",2.72873935139718e-07,-0.45490732988959,0.459,0.578,0.0167056151831887
"TSG101",2.74274929041303e-07,0.324411681988732,0.692,0.569,0.0167913854308376
"GRN",2.87345693506495e-07,0.357971351337622,0.82,0.742,0.0175915907021611
"GCG",3.40216534348023e-07,-0.696184304125001,0.877,0.964,0.0208283964493203
"BMPR2",3.49075081799705e-07,-0.443357504102506,0.38,0.587,0.0213707255828598
"PSMF1",3.65312980126426e-07,0.257967582321514,0.771,0.698,0.0223648259563199
"ZNF622",3.87984498934657e-07,0.45111765048011,0.537,0.404,0.0237527990092786
"ISCA1",3.95700962641357e-07,0.299986990742136,0.587,0.453,0.0242252086338665
"RBM6",4.05393405845395e-07,-0.378631148805191,0.666,0.769,0.0248185896992609
"GCLM",4.14293168042744e-07,0.264468608290504,0.793,0.72,0.0253634420407448
"CYB5R3",4.17116783754335e-07,0.261025043364797,0.761,0.689,0.0255363066182241
"EGR1",4.30005049053619e-07,-0.679664322916701,0.833,0.827,0.0263253391081116
"LRPAP1",4.63996672480291e-07,0.322606486729379,0.838,0.8,0.0284063402859159
"PRSS23",4.64023012449739e-07,0.401328365930338,0.752,0.684,0.0284079528451855
"EIF5B",4.67332731897897e-07,-0.330733035423154,0.795,0.898,0.0286105771795211
"WDR54",4.89913791075983e-07,0.329026733642378,0.447,0.311,0.0299930122034628
"CHID1",4.91289121421456e-07,0.368615151356838,0.686,0.609,0.0300772113025429
"PSMD13",5.09428992869692e-07,0.3593672328631,0.622,0.484,0.0311877523724754
"COX7A2L",5.09628630244431e-07,0.259173120906481,0.913,0.849,0.0311999743721943
"MOB1B",5.13212334465022e-07,-0.395630532161269,0.49,0.662,0.0314193723282831
"GEM",5.17389337101262e-07,0.333022940840761,0.506,0.333,0.0316750926066764
"TULP4",5.22460859872852e-07,-0.437235089433631,0.634,0.778,0.0319855763022759
"TPR",5.38280308388123e-07,-0.279612889855765,0.641,0.804,0.0329540587598293
"CALCOCO2",5.98208395803967e-07,0.259864985861837,0.77,0.649,0.0366229161995147
"EFNA5",6.30015787460931e-07,-0.538418501776753,0.598,0.689,0.0385701965241457
"ZNF662",6.82451787696018e-07,-0.302619004494694,0.136,0.262,0.0417803808945379
"OGT",6.89945319272151e-07,-0.348575167170118,0.59,0.76,0.0422391423911603
"ZMYND8",7.07433042524399e-07,-0.284773452782081,0.502,0.676,0.0433097582963862
"WASHC4",7.25189563500717e-07,-0.325207163901677,0.446,0.622,0.0443968302670774
"EGFEM1P",7.26292001951405e-07,-0.276143857998656,0.168,0.307,0.044464322651467
"CYC1",7.43704403285342e-07,0.251119908581183,0.676,0.529,0.0455303272735319
"GPBP1L1",7.55093360437297e-07,-0.313473882231277,0.472,0.658,0.0462275706193318
"CGRRF1",8.39295390290334e-07,0.287215140674143,0.592,0.471,0.0513825030889645
"ACP1",8.99493875412534e-07,0.261157662515873,0.822,0.782,0.0550679145466307
"DNAJB1",9.35059172827791e-07,0.626952460798417,0.685,0.542,0.0572452576196902
"APPL2",9.8958366277694e-07,0.271278102562609,0.656,0.502,0.060583301418867
"CEP350",1.03499944930383e-06,-0.361979767960876,0.553,0.729,0.0633637012858301
"NEFM",1.036058187681e-06,-0.643944742410568,0.263,0.44,0.0634285183080186
"BACE1-AS",1.04138504168261e-06,-0.273091608567616,0.137,0.262,0.063754633636851
"RGS16",1.05005316289202e-06,-0.643175100204661,0.422,0.6,0.0642853046854126
"SEC62",1.15158773519968e-06,-0.276438364424952,0.979,0.996,0.0705013527366599
"GSN",1.18492441463768e-06,0.461050032584143,0.931,0.938,0.0725422575885335
"PLCXD3",1.20233977557069e-06,-0.307846673839856,0.561,0.764,0.0736084434002133
"TNFRSF21",1.2521073074877e-06,0.355123378321495,0.662,0.533,0.0766552614717043
"DAAM1",1.256228135496e-06,-0.405535627264858,0.757,0.853,0.0769075426832004
"CFTR",1.3066071825687e-06,-0.323399787800616,0.103,0.218,0.0799917983240383
"PIN4",1.36693757659957e-06,-0.290526306811383,0.466,0.631,0.0836852853770023
"CREB5",1.39608939534292e-06,0.293176720548777,0.438,0.293,0.085469988872289
"TRAPPC3",1.460637391938e-06,0.323326982394356,0.623,0.52,0.0894216817718364
"COQ10B",1.46959704159017e-06,0.265019361420646,0.759,0.658,0.0899702004831917
"PCMTD1",1.56388881925452e-06,-0.388017480184705,0.666,0.787,0.0957428374035812
"ASB9",1.56650487221075e-06,0.460464943833007,0.485,0.338,0.0959029947816146
"PCIF1",1.93771063245955e-06,0.268875930871522,0.506,0.373,0.118628582629806
"CCND3",2.04306626377911e-06,0.375297430530468,0.623,0.529,0.125078559734821
"ZFP36L1",2.11321926577461e-06,-0.592011877286979,0.139,0.253,0.129373396669988
"CAPRIN2",2.13293323049261e-06,-0.333287156624158,0.231,0.373,0.130580305303988
"YTHDF2",2.16262327849585e-06,0.305364319735969,0.705,0.613,0.132397959732794
"LPP",2.2493140969559e-06,-0.407543651992534,0.471,0.636,0.137705258329737
"RIN2",2.25539116616623e-06,-0.603917987327206,0.818,0.902,0.138077302583863
"UNC80",2.4007649619533e-06,-0.272921204484092,0.598,0.747,0.146977231735743
"PTEN",2.49271691339628e-06,-0.668214633351142,0.698,0.742,0.152606622155034
"MARS",2.51274510960234e-06,0.430326306129394,0.668,0.582,0.153832768354965
"NRBP1",2.57855149977604e-06,0.28584380164815,0.534,0.413,0.157861501367789
"CADPS",2.58207187001414e-06,-0.463672087187107,0.744,0.836,0.158077021954136
"R3HDM2",2.74251994697307e-06,-0.319331927787156,0.692,0.8,0.167899813673639
"RIMS2",2.8679910104293e-06,-0.368953768072893,0.592,0.733,0.175581277649492
"CRP",2.9038867046769e-06,-0.428914249591836,0.067,0.156,0.177778847947025
"ESF1",2.92844308450805e-06,-0.289595122376311,0.437,0.573,0.179282214076667
"MEIS2",3.22988051745372e-06,-0.341824870529343,0.707,0.809,0.197736515159034
"MIR100HG",3.25817639974085e-06,-0.252067596127685,0.253,0.404,0.199468817368534
"CD24",3.26542748258669e-06,0.268226826495674,0.729,0.653,0.19991273591144
"HPN",3.38147045779297e-06,0.268508362103997,0.302,0.16,0.207017002896543
"NEUROD1",3.64182036064921e-06,-0.286600512249851,0.702,0.876,0.222955884299305
"ATP5PO",3.69660513341258e-06,-0.289221691496326,0.878,0.898,0.226309862872652
"LRPPRC",3.71234294095525e-06,-0.370292227149057,0.608,0.738,0.227273347188222
"EYA3",3.75911037146807e-06,-0.302981997749706,0.371,0.52,0.230136496051647
"PLK2",3.96828257404136e-06,-0.435274847034003,0.411,0.578,0.242942227465386
"INTS6",4.21588333750794e-06,-0.386737507545634,0.313,0.476,0.258100593805574
"MPP1",4.46655097688264e-06,0.284192700188361,0.498,0.36,0.273446717355732
"EIF4EBP1",4.48800012613897e-06,0.255093570398918,0.583,0.48,0.274759855722354
"PBX1",4.66237521615812e-06,-0.253774726859296,0.391,0.564,0.285435273108416
"ATP5PD",4.73594547773011e-06,-0.269945382896913,0.889,0.933,0.289939318092115
"C2CD5",4.76339708605322e-06,-0.254647905776945,0.37,0.538,0.291619933005264
"TSC22D1",5.01965727808567e-06,0.277659506429295,0.909,0.898,0.307308438221683
"HLTF",5.73869679543956e-06,-0.344026959691019,0.521,0.658,0.351328756513605
"GLG1",5.75133857127018e-06,-0.282943907137967,0.801,0.902,0.352102698671732
"NR1D1",6.00050937305785e-06,0.266543798209523,0.431,0.289,0.367357184327975
"GOPC",6.11825989863779e-06,-0.422786242454677,0.366,0.538,0.374565989254504
"POGZ",6.25531560061546e-06,-0.397013464541396,0.529,0.662,0.382956676385279
"SESN3",6.35953851433591e-06,-0.259140957750496,0.29,0.449,0.389337307386159
"ROBO2",6.40808002838848e-06,-0.402247872352526,0.457,0.613,0.392309067417971
"BRD8",6.4245828068853e-06,-0.336097070202284,0.543,0.658,0.393319384020325
"NFKBIA",6.47143842822559e-06,0.304148979962955,0.73,0.649,0.396187932014399
"FBXO32",6.49083543958492e-06,0.272557482655311,0.4,0.253,0.397375436446828
"RAB3C",6.80926882689676e-06,-0.368750234178491,0.44,0.613,0.416870246851446
"AL390728.6",8.02342155686126e-06,-0.272867537378718,0.251,0.378,0.491201891132603
"CRYL1",8.20670558900199e-06,0.267228308298581,0.459,0.32,0.502422722864291
"COLGALT1",8.28292815021849e-06,-0.295456285253243,0.292,0.436,0.507089144284526
"IFI6",8.29788105575691e-06,0.30336798522258,0.856,0.778,0.508004576114494
"EEF1AKMT3",8.57217582474211e-06,-0.287145696825362,0.123,0.236,0.524797176166537
"NCAPD2",8.74314939313351e-06,-0.288595595157995,0.098,0.204,0.535264348997026
"OLMALINC",8.84954916680837e-06,0.316087677953539,0.806,0.72,0.541778249541175
"TBL1XR1",8.99579791935243e-06,-0.66267268600164,0.737,0.8,0.550731744420675
"OLFM4",9.22724688230029e-06,-0.459004433818422,0.085,0.178,0.564901281381306
"JMJD1C",9.56998011155412e-06,0.262488723364665,0.862,0.818,0.585883752409455
"COMMD6",9.91041420628924e-06,-0.412055692699478,0.91,0.956,0.606725468123233
"RELL1",9.95884328186407e-06,-0.794741781617946,0.638,0.716,0.609690344559
"TOR3A",1.03152327292608e-05,0.391188693953776,0.371,0.253,0.631508862918077
"ATP6V1B2",1.11578677126113e-05,0.289985954778271,0.794,0.68,0.683095819233774
"HSBP1",1.21121385131817e-05,-0.382105838863829,0.902,0.964,0.741517231915496
"ATP8A1",1.26172348658766e-05,-0.267402627113254,0.356,0.524,0.772439735723831
"MT-ND6",1.2726245578776e-05,-0.652135474398518,0.995,0.982,0.779113480578245
"TFF3",1.28008235362102e-05,-1.04104793380974,0.603,0.702,0.783679217710328
"USP31",1.30496692598721e-05,-0.263821579757185,0.11,0.218,0.79891380175863
"GPD1",1.4945443029529e-05,0.340670202930269,0.334,0.2,0.914974967710797
"RNF19A",1.68240495608785e-05,-0.266938278801292,0.487,0.636,1
"ZKSCAN1",1.71674553129541e-05,-0.300417822190732,0.713,0.836,1
"CLOCK",1.72602870269728e-05,-0.265518810823329,0.399,0.569,1
"AKAP9",1.72927444602016e-05,-0.300305170149913,0.907,0.947,1
"SRSF6",1.74064245753852e-05,-0.881398087624279,0.821,0.804,1
"ADM",1.76375765407966e-05,0.298162603542084,0.398,0.262,1
"ISOC1",1.88537031233684e-05,0.310334545610227,0.53,0.436,1
"CRIPT",1.90242560288585e-05,-0.273522181054189,0.521,0.68,1
"DPYSL2",1.90431978688903e-05,-0.602371999440232,0.844,0.871,1
"PAFAH1B2",1.92569370707973e-05,-0.549438005742982,0.837,0.871,1
"KARS",1.98137788818259e-05,0.265001284275335,0.689,0.613,1
"SNX17",2.03319663109873e-05,0.250968345167028,0.659,0.569,1
"CCDC59",2.03722895200504e-05,-0.314308083004649,0.585,0.422,1
"RPL12",2.0879706856398e-05,-0.381021609002782,0.978,1,1
"LLGL2",2.10696666245002e-05,0.264584190600219,0.541,0.436,1
"PMEPA1",2.11216692509885e-05,-0.327236488146925,0.1,0.196,1
"SUGT1",2.12956690294745e-05,-0.468172249394279,0.571,0.676,1
"RBM26",2.13847533262923e-05,-0.352403504178147,0.616,0.72,1
"ANKLE2",2.30436936030169e-05,0.259290796811877,0.502,0.4,1
"GARS-DT",2.45067693923032e-05,-0.258780468243761,0.486,0.613,1
"RRP15",2.47467356103072e-05,-0.332924324115965,0.383,0.498,1
"DUSP1",2.47753679642461e-05,0.593039445290359,0.766,0.742,1
"COX17",2.58453787772356e-05,-0.419914173420947,0.971,0.982,1
"RPL21",2.61043206116584e-05,-0.322335807468986,0.92,0.987,1
"PCLO",2.61258058638052e-05,-0.38264797969895,0.69,0.818,1
"COPS7A",2.68616502372703e-05,0.29858635757426,0.557,0.44,1
"MT-ND4L",2.73786046031595e-05,0.429190002383657,0.998,0.982,1
"GLS",2.79959854729509e-05,-0.362323469207006,0.521,0.662,1
"GBA",2.81053339708296e-05,0.296820979224011,0.548,0.449,1
"UBXN4",2.86497945729372e-05,-0.332767491891138,0.922,0.947,1
"DCUN1D4",2.95017965594137e-05,-0.693078798527222,0.482,0.6,1
"MYT1L",3.07295228119745e-05,-0.274828658840246,0.445,0.578,1
"TMSB10",3.0841192445058e-05,-0.547123015197781,0.913,0.898,1
"PRELID3B",3.09844703939797e-05,-0.658964549245606,0.874,0.849,1
"GPR108",3.18124721692032e-05,0.288168371110128,0.417,0.307,1
"AC027290.2",3.27527123621074e-05,0.314230522055376,0.422,0.324,1
"DNAJC15",3.37182144110907e-05,-0.319905497850253,0.655,0.756,1
"LIN7C",3.49804142744709e-05,-0.476164578780088,0.657,0.711,1
"FOSB",3.5057189954496e-05,-0.309268440017342,0.464,0.622,1
"EIF3D",3.76541511846063e-05,0.301290173692286,0.708,0.591,1
"NOVA1",3.77439584599226e-05,-0.288687885224962,0.401,0.524,1
"FAM222A",3.83247786141359e-05,-0.350765526368187,0.311,0.467,1
"LARP1",3.92923118861867e-05,-0.276918576072894,0.77,0.889,1
"ZNF33A",4.01082556487493e-05,-0.274490535290969,0.411,0.556,1
"ATP5MG",4.04322430830771e-05,-0.414760673073467,0.954,0.973,1
"TMED9",4.04951180070973e-05,0.313330316744661,0.641,0.596,1
"ITGAV",4.05904244768953e-05,-0.297827310227769,0.537,0.698,1
"ZNF252P",4.10888057874883e-05,-0.261910491270062,0.416,0.56,1
"PPP1R12A",4.12838796219526e-05,-0.366636581301625,0.615,0.751,1
"SDC2",4.1518351714471e-05,0.279687924873563,0.606,0.547,1
"NDUFC1",4.20226162803484e-05,-0.433885563870605,0.926,0.947,1
"COX7A1",4.95919827867676e-05,-0.301239001619477,0.463,0.618,1
"NEO1",4.98434342722541e-05,-0.257204042997961,0.347,0.484,1
"AMZ2P1",5.09677900097464e-05,0.301548199145529,0.451,0.342,1
"TCTN1",5.15613955531869e-05,0.26816337909872,0.477,0.364,1
"ASH1L",5.86514488512393e-05,-0.313472542843085,0.571,0.707,1
"RAD21",5.98144155220535e-05,-0.337737120397977,0.667,0.796,1
"KIAA1109",5.99008156982782e-05,-0.346307352897335,0.494,0.636,1
"ENAH",6.23272728611317e-05,-0.314834115474602,0.485,0.613,1
"MT-ND3",6.47294833531722e-05,-0.331689073593818,0.995,0.982,1
"NF1",6.6108525031882e-05,-0.289902166508468,0.526,0.68,1
"YWHAB",6.6159185320488e-05,-0.529287193073386,0.885,0.911,1
"LINC02609",6.65147414690047e-05,-0.323062676026344,0.093,0.191,1
"MALAT1",6.74307882094682e-05,-0.366089127464901,0.999,1,1
"DICER1",7.14884506526373e-05,-0.273737991793567,0.497,0.649,1
"KCMF1",7.23069790627626e-05,0.296829042215979,0.561,0.476,1
"COX7C",7.3009313550042e-05,-0.283961089372718,0.986,0.982,1
"MAN1A1",7.34284967409501e-05,-0.543750687170353,0.646,0.733,1
"JUND",7.49978353068488e-05,0.292048297281409,0.923,0.956,1
"GRK3",7.62106954930268e-05,-0.25421019617909,0.447,0.578,1
"MTIF3",7.98514139021425e-05,-0.311446574925242,0.568,0.693,1
"KPNA6",8.15649676196222e-05,-0.329224873428251,0.72,0.822,1
"PPP2R5E",8.53260439953217e-05,-0.271881159747483,0.464,0.591,1
"CARMIL1",0.000101156505003671,-0.261512278587241,0.436,0.564,1
"PHKB",0.000105279364527075,-0.335890765052428,0.429,0.551,1
"NAA15",0.000105459420004049,-0.364725490063061,0.494,0.649,1
"NAMPT",0.000105885825431436,0.287449056449815,0.598,0.511,1
"TRIB3",0.0001075790950195,0.304916909267566,0.309,0.196,1
"CNKSR2",0.000108902209580693,-0.35407311465975,0.191,0.302,1
"SSBP2",0.000112286717686775,-0.277662137685756,0.561,0.689,1
"SATB1",0.000115392768139592,-0.305559952055982,0.307,0.449,1
"ENO2",0.000116553241550043,0.312758368195983,0.69,0.631,1
"TDRD9",0.000118471820699149,-0.544680856369418,0.27,0.382,1
"RBX1",0.00012709331485955,-0.34760823623829,0.775,0.871,1
"SMIM8",0.000128016501672808,-0.493439857791202,0.245,0.369,1
"LARP4B",0.000128541600324454,-0.302005222445581,0.422,0.556,1
"BMP5",0.000133059689143163,-0.372372057076123,0.541,0.689,1
"SLC7A2",0.000142047714307353,-0.271440713625055,0.637,0.738,1
"LINC02482",0.000147531712083913,-0.53897990338767,0.152,0.253,1
"TTC37",0.000152534648038958,-0.292108577939383,0.645,0.778,1
"DNAJC16",0.000160583617972066,-0.356511980722265,0.371,0.489,1
"RCOR3",0.000168549577285922,-0.380145332843829,0.551,0.662,1
"CDH6",0.000174161666801131,-0.265168407776089,0.108,0.196,1
"PPIP5K2",0.000180507281996569,-0.333598494577417,0.466,0.591,1
"ALCAM",0.000194845637233273,-0.389322113477251,0.906,0.933,1
"SLC25A34",0.000196348985471231,-0.404367601265172,0.21,0.324,1
"UNC79",0.000198854204618563,-0.277951314290321,0.493,0.618,1
"CDCP1",0.000202848755874643,-0.51146151477617,0.667,0.809,1
"EIF2S3",0.00021345999651712,-0.323130296670918,0.838,0.858,1
"EML4",0.000217610018127076,-0.36360783294109,0.511,0.636,1
"KMT2C",0.000224297916373991,-0.303615287174872,0.724,0.849,1
"KCNK16",0.00022786918767881,0.266019013134237,0.734,0.689,1
"KLHL42",0.000233210459165866,-0.286587230423549,0.586,0.711,1
"SORL1",0.000245398531285205,-0.367345123188248,0.9,0.947,1
"SOD2",0.00024747690054474,-0.345027927024606,0.464,0.564,1
"ISL1",0.000250541591872984,-0.266520669969544,0.54,0.631,1
"NDUFA3",0.000253862465332411,-0.440691853871852,0.915,0.938,1
"ZBTB44",0.000258661313868879,-0.323928439128645,0.272,0.396,1
"NAV1",0.000269859391050658,-0.26688286296728,0.534,0.684,1
"ZBED3",0.000274064240949119,-0.356363618152338,0.26,0.387,1
"LINC01578",0.000274094248649637,-0.342805832229171,0.691,0.773,1
"RGL3",0.000280001138918101,-0.329086128418523,0.316,0.467,1
"PRG4",0.000308358879097983,-0.490156930388636,0.087,0.169,1
"STRN3",0.000313453013366832,-0.47150696806776,0.62,0.667,1
"ATP5PF",0.000319350910839767,-0.380461645463403,0.957,0.973,1
"TMEM132B",0.000323563361415526,-0.32867426745703,0.166,0.267,1
"TACC2",0.000324919917910872,-0.316082878865828,0.303,0.431,1
