Well_Name,Treatment,Sample,Sex,Mouse_ID,Run,Full_name,,Well_Name2,Count
B02,DMSO_+FBS,M1,Male,0,R3,R3_M1_DMSO_+FBS,,B02,972
B03,DMSO_+FBS,M1,Male,0,R3,R3_M1_DMSO_+FBS,,B03,1769
B04,DMSO_+FBS,M1,Male,0,R3,R3_M1_DMSO_+FBS,,B04,1542
B05,DMSO_-FBS,M1,Male,0,R3,R3_M1_DMSO_-FBS,,B05,826
B06,DMSO_-FBS,M1,Male,0,R3,R3_M1_DMSO_-FBS,,B06,237
B07,24hrTg_-FBS,M1,Male,0,R3,R3_M1_24hrTg_-FBS,,B07,597
B08,24hrTg_-FBS,M1,Male,0,R3,R3_M1_24hrTg_-FBS,,B08,975
B09,24hrTg_-FBS,M1,Male,0,R3,R3_M1_24hrTg_-FBS,,B09,1170
B10,2hrTg_-FBS,M1,Male,0,R3,R3_M1_2hrTg_-FBS,,B10,263
B11,2hrTg_-FBS,M1,Male,0,R3,R3_M1_2hrTg_-FBS,,B11,425
B12,NA,NA,#N/A,#N/A,R3,R3_NA_NA,,,
C02,DMSO_+FBS,M2,Male,0,R3,R3_M2_DMSO_+FBS,,C02,1404
C03,DMSO_+FBS,M2,Male,0,R3,R3_M2_DMSO_+FBS,,C03,1494
C04,DMSO_-FBS,M2,Male,0,R3,R3_M2_DMSO_-FBS,,C04,863
C05,DMSO_-FBS,M2,Male,0,R3,R3_M2_DMSO_-FBS,,C05,742
C06,24hrTg_-FBS,M2,Male,0,R3,R3_M2_24hrTg_-FBS,,C06,512
C07,24hrTg_-FBS,M2,Male,0,R3,R3_M2_24hrTg_-FBS,,C07,580
C08,2hrTg_-FBS,M2,Male,0,R3,R3_M2_2hrTg_-FBS,,C08,2727
C09,NA,NA,#N/A,#N/A,R3,R3_NA_NA,,,
C10,NA,NA,#N/A,#N/A,R3,R3_NA_NA,,,
C11,NA,NA,#N/A,#N/A,R3,R3_NA_NA,,,
C12,NA,NA,#N/A,#N/A,R3,R3_NA_NA,,,
D02,DMSO_+FBS,M3,Male,0,R3,R3_M3_DMSO_+FBS,,D02,813
D03,DMSO_+FBS,M3,Male,0,R3,R3_M3_DMSO_+FBS,,D03,987
D04,DMSO_+FBS,M3,Male,0,R3,R3_M3_DMSO_+FBS,,D04,1123
D05,DMSO_-FBS,M3,Male,0,R3,R3_M3_DMSO_-FBS,,D05,648
D06,DMSO_-FBS,M3,Male,0,R3,R3_M3_DMSO_-FBS,,D06,501
D07,24hrTg_-FBS,M3,Male,0,R3,R3_M3_24hrTg_-FBS,,D07,746
D08,24hrTg_-FBS,M3,Male,0,R3,R3_M3_24hrTg_-FBS,,D08,808
D09,24hrTg_-FBS,M3,Male,0,R3,R3_M3_24hrTg_-FBS,,D09,1333
D10,2hrTg_-FBS,M3,Male,0,R3,R3_M3_2hrTg_-FBS,,D10,286
D11,2hrTg_-FBS,M3,Male,0,R3,R3_M3_2hrTg_-FBS,,D11,261
D12,NA,NA,#N/A,#N/A,R3,R3_NA_NA,,,
E02,DMSO_+FBS,F1,Female,0,R3,R3_F1_DMSO_+FBS,,E02,480
E03,DMSO_+FBS,F1,Female,0,R3,R3_F1_DMSO_+FBS,,E03,553
E04,DMSO_+FBS,F1,Female,0,R3,R3_F1_DMSO_+FBS,,E04,438
E05,DMSO_-FBS,F1,Female,0,R3,R3_F1_DMSO_-FBS,,E05,317
E06,DMSO_-FBS,F1,Female,0,R3,R3_F1_DMSO_-FBS,,E06,341
E07,24hrTg_-FBS,F1,Female,0,R3,R3_F1_24hrTg_-FBS,,E07,601
E08,24hrTg_-FBS,F1,Female,0,R3,R3_F1_24hrTg_-FBS,,E08,443
E09,24hrTg_-FBS,F1,Female,0,R3,R3_F1_24hrTg_-FBS,,E09,801
E10,2hrTg_-FBS,F1,Female,0,R3,R3_F1_2hrTg_-FBS,,E10,148
E11,2hrTg_-FBS,F1,Female,0,R3,R3_F1_2hrTg_-FBS,,E11,997
E12,NA,NA,#N/A,#N/A,R3,R3_NA_NA,,,
F02,DMSO_+FBS,F2,Female,0,R3,R3_F2_DMSO_+FBS,,F02,408
F03,DMSO_+FBS,F2,Female,0,R3,R3_F2_DMSO_+FBS,,F03,580
F04,DMSO_+FBS,F2,Female,0,R3,R3_F2_DMSO_+FBS,,F04,411
F05,DMSO_-FBS,F2,Female,0,R3,R3_F2_DMSO_-FBS,,F05,308
F06,DMSO_-FBS,F2,Female,0,R3,R3_F2_DMSO_-FBS,,F06,293
F07,24hrTg_-FBS,F2,Female,0,R3,R3_F2_24hrTg_-FBS,,F07,335
F08,24hrTg_-FBS,F2,Female,0,R3,R3_F2_24hrTg_-FBS,,F08,165
F09,24hrTg_-FBS,F2,Female,0,R3,R3_F2_24hrTg_-FBS,,F09,114
F10,2hrTg_-FBS,F2,Female,0,R3,R3_F2_2hrTg_-FBS,,F10,118
F11,2hrTg_-FBS,F2,Female,0,R3,R3_F2_2hrTg_-FBS,,F11,243
F12,NA,NA,#N/A,#N/A,R3,R3_NA_NA,,,
G02,DMSO_-FBS,F3,Female,0,R3,R3_F3_DMSO_-FBS,,G02,85
G03,24hrTg_-FBS,F3,Female,0,R3,R3_F3_24hrTg_-FBS,,G03,65
G04,NA,NA,#N/A,#N/A,R3,R3_NA_NA,,,
G05,NA,NA,#N/A,#N/A,R3,R3_NA_NA,,,
G06,Tg_RPMI,NA,#N/A,#N/A,R3,R3_NA_Tg_RPMI,,G06,1025
G07,Tg_RPMI,NA,#N/A,#N/A,R3,R3_NA_Tg_RPMI,,G07,339
G08,OPP-,F2,Female,0,R3,R3_F2_OPP-,,G08,2452
G09,OPP-,F1,Female,0,R3,R3_F1_OPP-,,G09,1086
G10,OPP-,M3,Male,0,R3,R3_M3_OPP-,,G10,916
G11,OPP-,M1,Male,0,R3,R3_M1_OPP-,,G11,1754
G12,NA,NA,#N/A,#N/A,R3,R3_NA_NA,,,
H02,NA,NA,#N/A,#N/A,R3,R3_NA_NA,,,
H03,NA,NA,#N/A,#N/A,R3,R3_NA_NA,,,
H04,NA,NA,#N/A,#N/A,R3,R3_NA_NA,,,
H05,NA,NA,#N/A,#N/A,R3,R3_NA_NA,,,
H06,NA,NA,#N/A,#N/A,R3,R3_NA_NA,,,
H07,NA,NA,#N/A,#N/A,R3,R3_NA_NA,,,
H08,NA,NA,#N/A,#N/A,R3,R3_NA_NA,,,
H09,NA,NA,#N/A,#N/A,R3,R3_NA_NA,,,
H10,NA,NA,#N/A,#N/A,R3,R3_NA_NA,,,
H11,NA,NA,#N/A,#N/A,R3,R3_NA_NA,,,
H12,NA,NA,#N/A,#N/A,R3,R3_NA_NA,,,
